+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4267   |   0.4267   |  0.0000 |   0.0000  |
|  epoch 2  |   0.3009   |   0.3009   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2485   |   0.2485   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2194   |   0.2194   |  0.0000 |   0.0000  |
|  epoch 5  |   0.1970   |   0.1970   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1816   |   0.1816   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1674   |   0.1674   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1522   |   0.1522   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1402   |   0.1402   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5387   |   0.1848   |  1.3539 |   1.0000  |
|  epoch 11 |   1.5413   |   0.1666   |  1.3747 |   1.0000  |
|  epoch 12 |   1.5199   |   0.1513   |  1.3686 |   1.0000  |
|  epoch 13 |   1.4973   |   0.1342   |  1.3631 |   1.0000  |
|  epoch 14 |   1.4875   |   0.1373   |  1.3503 |   1.0000  |
|  epoch 15 |   1.5313   |   0.1324   |  1.3989 |   1.0000  |
|  epoch 16 |   1.5001   |   0.1136   |  1.3865 |   1.0000  |
|  epoch 17 |   1.4739   |   0.1061   |  1.3678 |   1.0000  |
|  epoch 18 |   1.4806   |   0.1016   |  1.3790 |   1.0000  |
|  epoch 19 |   1.4575   |   0.0928   |  1.3647 |   1.0000  |
|  epoch 20 |   1.4225   |   0.1028   |  1.3197 |   1.0000  |
|  epoch 21 |   1.4499   |   0.1060   |  1.3438 |   1.0000  |
|  epoch 22 |   1.4354   |   0.0961   |  1.3393 |   1.0000  |
|  epoch 23 |   1.4226   |   0.0962   |  1.3265 |   1.0000  |
|  epoch 24 |   1.4659   |   0.1026   |  1.3634 |   1.0000  |
|  epoch 25 |   1.4490   |   0.0929   |  1.3561 |   1.0000  |
|  epoch 26 |   1.4677   |   0.0941   |  1.3736 |   1.0000  |
|  epoch 27 |   1.4659   |   0.0868   |  1.3791 |   1.0000  |
|  epoch 28 |   1.4677   |   0.0831   |  1.3845 |   1.0000  |
|  epoch 29 |   1.4558   |   0.0681   |  1.3877 |   1.0000  |
