+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4215   |   0.4215   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2994   |   0.2994   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2505   |   0.2505   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2173   |   0.2173   |  0.0000 |   0.0000  |
|  epoch 5  |   0.2023   |   0.2023   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1838   |   0.1838   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1702   |   0.1702   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1512   |   0.1512   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1406   |   0.1406   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5338   |   0.1759   |  1.3579 |   1.0000  |
|  epoch 11 |   1.5286   |   0.1593   |  1.3692 |   1.0000  |
|  epoch 12 |   1.5131   |   0.1366   |  1.3765 |   1.0000  |
|  epoch 13 |   1.4902   |   0.1266   |  1.3636 |   1.0000  |
|  epoch 14 |   1.4871   |   0.1220   |  1.3651 |   1.0000  |
|  epoch 15 |   1.4911   |   0.1254   |  1.3657 |   1.0000  |
|  epoch 16 |   1.4915   |   0.1246   |  1.3668 |   1.0000  |
|  epoch 17 |   1.4848   |   0.1221   |  1.3627 |   1.0000  |
|  epoch 18 |   1.4625   |   0.1124   |  1.3500 |   1.0000  |
|  epoch 19 |   1.4869   |   0.1162   |  1.3707 |   1.0000  |
|  epoch 20 |   1.4081   |   0.1176   |  1.2905 |   1.0000  |
|  epoch 21 |   1.3390   |   0.1250   |  1.2140 |   1.0000  |
|  epoch 22 |   1.4285   |   0.1281   |  1.3004 |   1.0000  |
|  epoch 23 |   1.4348   |   0.1111   |  1.3236 |   1.0000  |
|  epoch 24 |   1.4494   |   0.1384   |  1.3110 |   1.0000  |
|  epoch 25 |   1.4533   |   0.1056   |  1.3477 |   1.0000  |
|  epoch 26 |   1.4221   |   0.1105   |  1.3116 |   1.0000  |
|  epoch 27 |   1.4122   |   0.1220   |  1.2902 |   1.0000  |
|  epoch 28 |   1.4373   |   0.1117   |  1.3256 |   1.0000  |
|  epoch 29 |   1.4747   |   0.1296   |  1.3451 |   1.0000  |
|  epoch 30 |   1.3163   |   0.1089   |  1.2074 |   1.0000  |
|  epoch 31 |   1.3985   |   0.1106   |  1.2879 |   1.0000  |
|  epoch 32 |   1.3310   |   0.1072   |  1.2238 |   1.0000  |
|  epoch 33 |   1.3643   |   0.1078   |  1.2565 |   1.0000  |
|  epoch 34 |   1.3486   |   0.1088   |  1.2398 |   1.0000  |
|  epoch 35 |   1.4584   |   0.1179   |  1.3406 |   1.0000  |
|  epoch 36 |   1.3669   |   0.1050   |  1.2619 |   1.0000  |
|  epoch 37 |   1.4602   |   0.0997   |  1.3605 |   1.0000  |
|  epoch 38 |   1.4660   |   0.0979   |  1.3681 |   1.0000  |
|  epoch 39 |   1.3337   |   0.0878   |  1.2459 |   1.0000  |
|  epoch 40 |   1.4160   |   0.1109   |  1.3051 |   1.0000  |
|  epoch 41 |   1.3320   |   0.0938   |  1.2382 |   1.0000  |
|  epoch 42 |   1.4520   |   0.0974   |  1.3546 |   1.0000  |
|  epoch 43 |   1.3778   |   0.0937   |  1.2841 |   1.0000  |
|  epoch 44 |   1.3779   |   0.0874   |  1.2904 |   1.0000  |
|  epoch 45 |   1.2981   |   0.0816   |  1.2165 |   1.0000  |
|  epoch 46 |   1.3356   |   0.0978   |  1.2378 |   1.0000  |
|  epoch 47 |   1.4021   |   0.1051   |  1.2971 |   1.0000  |
|  epoch 48 |   1.3114   |   0.1033   |  1.2081 |   1.0000  |
|  epoch 49 |   1.2692   |   0.0965   |  1.1727 |   1.0000  |
|  epoch 50 |   1.2081   |   0.1096   |  1.0985 |   1.0000  |
|  epoch 51 |   1.3129   |   0.1229   |  1.1901 |   1.0000  |
|  epoch 52 |   1.3974   |   0.1287   |  1.2687 |   1.0000  |
|  epoch 53 |   1.3404   |   0.1286   |  1.2118 |   1.0000  |
|  epoch 54 |   1.2412   |   0.1393   |  1.1019 |   1.0000  |
|  epoch 55 |   1.3900   |   0.1547   |  1.2354 |   1.0000  |
|  epoch 56 |   1.1805   |   0.1373   |  1.0432 |   1.0000  |
|  epoch 57 |   1.2310   |   0.1407   |  1.0904 |   1.0000  |
|  epoch 58 |   1.0142   |   0.1442   |  0.8701 |   1.0000  |
|  epoch 59 |   1.2609   |   0.1360   |  1.1249 |   1.0000  |
