+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4078   |
|  epoch 2  |   0.2740   |
|  epoch 3  |   0.2280   |
|  epoch 4  |   0.2043   |
|  epoch 5  |   0.1884   |
|  epoch 6  |   0.1726   |
|  epoch 7  |   0.1573   |
|  epoch 8  |   0.1449   |
|  epoch 9  |   0.1333   |
|  epoch 10 |   0.1191   |
|  epoch 11 |   0.1086   |
|  epoch 12 |   0.0944   |
|  epoch 13 |   0.0870   |
|  epoch 14 |   0.0782   |
|  epoch 15 |   0.0712   |
|  epoch 16 |   0.0625   |
|  epoch 17 |   0.0581   |
|  epoch 18 |   0.0545   |
|  epoch 19 |   0.0503   |
|  epoch 20 |   0.0467   |
|  epoch 21 |   0.0409   |
|  epoch 22 |   0.0387   |
|  epoch 23 |   0.0365   |
|  epoch 24 |   0.0327   |
|  epoch 25 |   0.0321   |
|  epoch 26 |   0.0298   |
|  epoch 27 |   0.0309   |
|  epoch 28 |   0.0279   |
|  epoch 29 |   0.0258   |
|  epoch 30 |   0.0230   |
|  epoch 31 |   0.0248   |
|  epoch 32 |   0.0217   |
|  epoch 33 |   0.0232   |
|  epoch 34 |   0.0232   |
|  epoch 35 |   0.0211   |
|  epoch 36 |   0.0208   |
|  epoch 37 |   0.0168   |
|  epoch 38 |   0.0173   |
|  epoch 39 |   0.0189   |
|  epoch 40 |   0.0166   |
|  epoch 41 |   0.0162   |
|  epoch 42 |   0.0153   |
|  epoch 43 |   0.0162   |
|  epoch 44 |   0.0169   |
|  epoch 45 |   0.0144   |
|  epoch 46 |   0.0158   |
|  epoch 47 |   0.0131   |
|  epoch 48 |   0.0144   |
|  epoch 49 |   0.0132   |
|  epoch 50 |   0.0124   |
|  epoch 51 |   0.0144   |
|  epoch 52 |   0.0106   |
|  epoch 53 |   0.0132   |
|  epoch 54 |   0.0122   |
|  epoch 55 |   0.0143   |
|  epoch 56 |   0.0131   |
|  epoch 57 |   0.0117   |
|  epoch 58 |   0.0129   |
|  epoch 59 |   0.0116   |
|  epoch 60 |   0.0117   |
|  epoch 61 |   0.0103   |
|  epoch 62 |   0.0124   |
|  epoch 63 |   0.0111   |
|  epoch 64 |   0.0120   |
|  epoch 65 |   0.0109   |
|  epoch 66 |   0.0114   |
|  epoch 67 |   0.0114   |
|  epoch 68 |   0.0110   |
|  epoch 69 |   0.0115   |
|  epoch 70 |   0.0087   |
|  epoch 71 |   0.0088   |
|  epoch 72 |   0.0102   |
|  epoch 73 |   0.0087   |
|  epoch 74 |   0.0102   |
|  epoch 75 |   0.0082   |
|  epoch 76 |   0.0087   |
|  epoch 77 |   0.0089   |
|  epoch 78 |   0.0095   |
|  epoch 79 |   0.0088   |
|  epoch 80 |   0.0091   |
|  epoch 81 |   0.0078   |
|  epoch 82 |   0.0082   |
|  epoch 83 |   0.0096   |
|  epoch 84 |   0.0083   |
|  epoch 85 |   0.0076   |
|  epoch 86 |   0.0086   |
|  epoch 87 |   0.0069   |
|  epoch 88 |   0.0091   |
|  epoch 89 |   0.0069   |
|  epoch 90 |   0.0088   |
|  epoch 91 |   0.0071   |
|  epoch 92 |   0.0078   |
|  epoch 93 |   0.0057   |
|  epoch 94 |   0.0083   |
|  epoch 95 |   0.0086   |
|  epoch 96 |   0.0078   |
|  epoch 97 |   0.0060   |
|  epoch 98 |   0.0069   |
|  epoch 99 |   0.0075   |
| epoch 100 |   0.0074   |
+-----------+------------+
