+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4125   |
|  epoch 2  |   0.2871   |
|  epoch 3  |   0.2411   |
|  epoch 4  |   0.2144   |
|  epoch 5  |   0.1992   |
|  epoch 6  |   0.1850   |
|  epoch 7  |   0.1698   |
|  epoch 8  |   0.1556   |
|  epoch 9  |   0.1394   |
|  epoch 10 |   0.1253   |
|  epoch 11 |   0.1133   |
|  epoch 12 |   0.1045   |
|  epoch 13 |   0.0905   |
|  epoch 14 |   0.0812   |
|  epoch 15 |   0.0746   |
|  epoch 16 |   0.0670   |
|  epoch 17 |   0.0590   |
|  epoch 18 |   0.0567   |
|  epoch 19 |   0.0522   |
|  epoch 20 |   0.0480   |
|  epoch 21 |   0.0422   |
|  epoch 22 |   0.0394   |
|  epoch 23 |   0.0381   |
|  epoch 24 |   0.0341   |
|  epoch 25 |   0.0326   |
|  epoch 26 |   0.0325   |
|  epoch 27 |   0.0293   |
|  epoch 28 |   0.0265   |
|  epoch 29 |   0.0302   |
|  epoch 30 |   0.0240   |
|  epoch 31 |   0.0221   |
|  epoch 32 |   0.0256   |
|  epoch 33 |   0.0222   |
|  epoch 34 |   0.0209   |
|  epoch 35 |   0.0221   |
|  epoch 36 |   0.0188   |
|  epoch 37 |   0.0198   |
|  epoch 38 |   0.0192   |
|  epoch 39 |   0.0191   |
|  epoch 40 |   0.0163   |
|  epoch 41 |   0.0180   |
|  epoch 42 |   0.0162   |
|  epoch 43 |   0.0161   |
|  epoch 44 |   0.0175   |
|  epoch 45 |   0.0155   |
|  epoch 46 |   0.0130   |
|  epoch 47 |   0.0167   |
|  epoch 48 |   0.0155   |
|  epoch 49 |   0.0151   |
|  epoch 50 |   0.0160   |
|  epoch 51 |   0.0136   |
|  epoch 52 |   0.0118   |
|  epoch 53 |   0.0146   |
|  epoch 54 |   0.0121   |
|  epoch 55 |   0.0137   |
|  epoch 56 |   0.0139   |
|  epoch 57 |   0.0097   |
|  epoch 58 |   0.0123   |
|  epoch 59 |   0.0127   |
|  epoch 60 |   0.0113   |
|  epoch 61 |   0.0141   |
|  epoch 62 |   0.0105   |
|  epoch 63 |   0.0095   |
|  epoch 64 |   0.0100   |
|  epoch 65 |   0.0108   |
|  epoch 66 |   0.0112   |
|  epoch 67 |   0.0105   |
|  epoch 68 |   0.0103   |
|  epoch 69 |   0.0108   |
|  epoch 70 |   0.0109   |
|  epoch 71 |   0.0093   |
|  epoch 72 |   0.0080   |
|  epoch 73 |   0.0113   |
|  epoch 74 |   0.0109   |
|  epoch 75 |   0.0093   |
|  epoch 76 |   0.0088   |
|  epoch 77 |   0.0089   |
|  epoch 78 |   0.0101   |
|  epoch 79 |   0.0088   |
|  epoch 80 |   0.0095   |
|  epoch 81 |   0.0091   |
|  epoch 82 |   0.0099   |
|  epoch 83 |   0.0067   |
|  epoch 84 |   0.0065   |
|  epoch 85 |   0.0084   |
|  epoch 86 |   0.0098   |
|  epoch 87 |   0.0084   |
|  epoch 88 |   0.0088   |
|  epoch 89 |   0.0080   |
|  epoch 90 |   0.0078   |
|  epoch 91 |   0.0081   |
|  epoch 92 |   0.0077   |
|  epoch 93 |   0.0091   |
|  epoch 94 |   0.0070   |
|  epoch 95 |   0.0073   |
|  epoch 96 |   0.0076   |
|  epoch 97 |   0.0081   |
|  epoch 98 |   0.0085   |
|  epoch 99 |   0.0076   |
| epoch 100 |   0.0074   |
+-----------+------------+
