+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4620   |
|  epoch 2  |   0.2625   |
|  epoch 3  |   0.2225   |
|  epoch 4  |   0.1875   |
|  epoch 5  |   0.1657   |
|  epoch 6  |   0.1482   |
|  epoch 7  |   0.1332   |
|  epoch 8  |   0.1182   |
|  epoch 9  |   0.1060   |
|  epoch 10 |   0.0940   |
|  epoch 11 |   0.0864   |
|  epoch 12 |   0.0804   |
|  epoch 13 |   0.0658   |
|  epoch 14 |   0.0553   |
|  epoch 15 |   0.0520   |
|  epoch 16 |   0.0504   |
|  epoch 17 |   0.0392   |
|  epoch 18 |   0.0417   |
|  epoch 19 |   0.0355   |
|  epoch 20 |   0.0330   |
|  epoch 21 |   0.0334   |
|  epoch 22 |   0.0250   |
|  epoch 23 |   0.0249   |
|  epoch 24 |   0.0248   |
|  epoch 25 |   0.0260   |
|  epoch 26 |   0.0235   |
|  epoch 27 |   0.0216   |
|  epoch 28 |   0.0198   |
|  epoch 29 |   0.0158   |
|  epoch 30 |   0.0212   |
|  epoch 31 |   0.0150   |
|  epoch 32 |   0.0170   |
|  epoch 33 |   0.0170   |
|  epoch 34 |   0.0126   |
|  epoch 35 |   0.0159   |
|  epoch 36 |   0.0126   |
|  epoch 37 |   0.0152   |
|  epoch 38 |   0.0143   |
|  epoch 39 |   0.0113   |
|  epoch 40 |   0.0110   |
|  epoch 41 |   0.0139   |
|  epoch 42 |   0.0098   |
|  epoch 43 |   0.0109   |
|  epoch 44 |   0.0107   |
|  epoch 45 |   0.0089   |
|  epoch 46 |   0.0130   |
|  epoch 47 |   0.0099   |
|  epoch 48 |   0.0101   |
|  epoch 49 |   0.0118   |
|  epoch 50 |   0.0083   |
|  epoch 51 |   0.0076   |
|  epoch 52 |   0.0082   |
|  epoch 53 |   0.0082   |
|  epoch 54 |   0.0077   |
|  epoch 55 |   0.0105   |
|  epoch 56 |   0.0082   |
|  epoch 57 |   0.0080   |
|  epoch 58 |   0.0029   |
|  epoch 59 |   0.0113   |
|  epoch 60 |   0.0083   |
|  epoch 61 |   0.0064   |
|  epoch 62 |   0.0093   |
|  epoch 63 |   0.0052   |
|  epoch 64 |   0.0062   |
|  epoch 65 |   0.0091   |
|  epoch 66 |   0.0066   |
|  epoch 67 |   0.0089   |
|  epoch 68 |   0.0045   |
|  epoch 69 |   0.0057   |
|  epoch 70 |   0.0070   |
|  epoch 71 |   0.0056   |
|  epoch 72 |   0.0072   |
|  epoch 73 |   0.0073   |
|  epoch 74 |   0.0039   |
|  epoch 75 |   0.0025   |
|  epoch 76 |   0.0076   |
|  epoch 77 |   0.0058   |
|  epoch 78 |   0.0050   |
|  epoch 79 |   0.0063   |
|  epoch 80 |   0.0063   |
|  epoch 81 |   0.0068   |
|  epoch 82 |   0.0037   |
|  epoch 83 |   0.0053   |
|  epoch 84 |   0.0062   |
|  epoch 85 |   0.0057   |
|  epoch 86 |   0.0057   |
|  epoch 87 |   0.0043   |
|  epoch 88 |   0.0037   |
|  epoch 89 |   0.0061   |
|  epoch 90 |   0.0041   |
|  epoch 91 |   0.0034   |
|  epoch 92 |   0.0049   |
|  epoch 93 |   0.0039   |
|  epoch 94 |   0.0052   |
|  epoch 95 |   0.0035   |
|  epoch 96 |   0.0039   |
|  epoch 97 |   0.0024   |
|  epoch 98 |   0.0061   |
|  epoch 99 |   0.0045   |
| epoch 100 |   0.0052   |
+-----------+------------+
