+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4783   |
|  epoch 2  |   0.3160   |
|  epoch 3  |   0.2638   |
|  epoch 4  |   0.2265   |
|  epoch 5  |   0.2014   |
|  epoch 6  |   0.1874   |
|  epoch 7  |   0.1644   |
|  epoch 8  |   0.1548   |
|  epoch 9  |   0.1329   |
|  epoch 10 |   0.1200   |
|  epoch 11 |   0.1074   |
|  epoch 12 |   0.0938   |
|  epoch 13 |   0.0877   |
|  epoch 14 |   0.0796   |
|  epoch 15 |   0.0680   |
|  epoch 16 |   0.0610   |
|  epoch 17 |   0.0584   |
|  epoch 18 |   0.0501   |
|  epoch 19 |   0.0500   |
|  epoch 20 |   0.0420   |
|  epoch 21 |   0.0366   |
|  epoch 22 |   0.0355   |
|  epoch 23 |   0.0353   |
|  epoch 24 |   0.0316   |
|  epoch 25 |   0.0282   |
|  epoch 26 |   0.0247   |
|  epoch 27 |   0.0254   |
|  epoch 28 |   0.0264   |
|  epoch 29 |   0.0215   |
|  epoch 30 |   0.0265   |
|  epoch 31 |   0.0206   |
|  epoch 32 |   0.0130   |
|  epoch 33 |   0.0182   |
|  epoch 34 |   0.0213   |
|  epoch 35 |   0.0173   |
|  epoch 36 |   0.0181   |
|  epoch 37 |   0.0154   |
|  epoch 38 |   0.0150   |
|  epoch 39 |   0.0149   |
|  epoch 40 |   0.0164   |
|  epoch 41 |   0.0104   |
|  epoch 42 |   0.0140   |
|  epoch 43 |   0.0128   |
|  epoch 44 |   0.0119   |
|  epoch 45 |   0.0117   |
|  epoch 46 |   0.0102   |
|  epoch 47 |   0.0121   |
|  epoch 48 |   0.0124   |
|  epoch 49 |   0.0143   |
|  epoch 50 |   0.0121   |
|  epoch 51 |   0.0118   |
|  epoch 52 |   0.0096   |
|  epoch 53 |   0.0116   |
|  epoch 54 |   0.0115   |
|  epoch 55 |   0.0106   |
|  epoch 56 |   0.0082   |
|  epoch 57 |   0.0093   |
|  epoch 58 |   0.0110   |
|  epoch 59 |   0.0097   |
|  epoch 60 |   0.0111   |
|  epoch 61 |   0.0068   |
|  epoch 62 |   0.0113   |
|  epoch 63 |   0.0099   |
|  epoch 64 |   0.0081   |
|  epoch 65 |   0.0077   |
|  epoch 66 |   0.0069   |
|  epoch 67 |   0.0057   |
|  epoch 68 |   0.0082   |
|  epoch 69 |   0.0093   |
|  epoch 70 |   0.0080   |
|  epoch 71 |   0.0073   |
|  epoch 72 |   0.0083   |
|  epoch 73 |   0.0066   |
|  epoch 74 |   0.0066   |
|  epoch 75 |   0.0060   |
|  epoch 76 |   0.0077   |
|  epoch 77 |   0.0062   |
|  epoch 78 |   0.0073   |
|  epoch 79 |   0.0074   |
|  epoch 80 |   0.0072   |
|  epoch 81 |   0.0074   |
|  epoch 82 |   0.0058   |
|  epoch 83 |   0.0101   |
|  epoch 84 |   0.0057   |
|  epoch 85 |   0.0057   |
|  epoch 86 |   0.0079   |
|  epoch 87 |   0.0069   |
|  epoch 88 |   0.0044   |
|  epoch 89 |   0.0081   |
|  epoch 90 |   0.0035   |
|  epoch 91 |   0.0038   |
|  epoch 92 |   0.0057   |
|  epoch 93 |   0.0070   |
|  epoch 94 |   0.0060   |
|  epoch 95 |   0.0049   |
|  epoch 96 |   0.0055   |
|  epoch 97 |   0.0049   |
|  epoch 98 |   0.0043   |
|  epoch 99 |   0.0058   |
| epoch 100 |   0.0052   |
+-----------+------------+
