+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5076   |
|  epoch 2  |   0.3913   |
|  epoch 3  |   0.3297   |
|  epoch 4  |   0.3024   |
|  epoch 5  |   0.2819   |
|  epoch 6  |   0.2430   |
|  epoch 7  |   0.2127   |
|  epoch 8  |   0.1948   |
|  epoch 9  |   0.1490   |
|  epoch 10 |   0.1439   |
|  epoch 11 |   0.1354   |
|  epoch 12 |   0.1550   |
|  epoch 13 |   0.1510   |
|  epoch 14 |   0.1177   |
|  epoch 15 |   0.0859   |
|  epoch 16 |   0.0735   |
|  epoch 17 |   0.0608   |
|  epoch 18 |   0.0795   |
|  epoch 19 |   0.0715   |
|  epoch 20 |   0.0740   |
|  epoch 21 |   0.0943   |
|  epoch 22 |   0.0617   |
|  epoch 23 |   0.0521   |
|  epoch 24 |   0.0464   |
|  epoch 25 |   0.0321   |
|  epoch 26 |   0.0277   |
|  epoch 27 |   0.0442   |
|  epoch 28 |   0.0406   |
|  epoch 29 |   0.0173   |
|  epoch 30 |   0.0196   |
|  epoch 31 |   0.0259   |
|  epoch 32 |   0.0346   |
|  epoch 33 |   0.0299   |
|  epoch 34 |   0.0263   |
|  epoch 35 |   0.0221   |
|  epoch 36 |   0.0285   |
|  epoch 37 |   0.0225   |
|  epoch 38 |   0.0584   |
|  epoch 39 |   0.0206   |
|  epoch 40 |   0.0344   |
|  epoch 41 |   0.0348   |
|  epoch 42 |   0.0323   |
|  epoch 43 |   0.0295   |
|  epoch 44 |   0.0268   |
|  epoch 45 |   0.0389   |
|  epoch 46 |   0.0347   |
|  epoch 47 |   0.0290   |
|  epoch 48 |   0.0372   |
|  epoch 49 |   0.0283   |
|  epoch 50 |   0.0238   |
|  epoch 51 |   0.0320   |
|  epoch 52 |   0.0166   |
|  epoch 53 |   0.0442   |
|  epoch 54 |   0.0140   |
|  epoch 55 |   0.0182   |
|  epoch 56 |   0.0160   |
|  epoch 57 |   0.0139   |
|  epoch 58 |   0.0155   |
|  epoch 59 |   0.0129   |
|  epoch 60 |   0.0113   |
|  epoch 61 |   0.0176   |
|  epoch 62 |   0.0037   |
|  epoch 63 |   0.0128   |
|  epoch 64 |   0.0106   |
|  epoch 65 |   0.0224   |
|  epoch 66 |   0.0233   |
|  epoch 67 |   0.0277   |
|  epoch 68 |   0.0158   |
|  epoch 69 |   0.0102   |
|  epoch 70 |   0.0071   |
|  epoch 71 |   0.0019   |
|  epoch 72 |   0.0055   |
|  epoch 73 |   0.0021   |
|  epoch 74 |   0.0069   |
|  epoch 75 |   0.0094   |
|  epoch 76 |   0.0135   |
|  epoch 77 |   0.0145   |
|  epoch 78 |   0.0081   |
|  epoch 79 |   0.0078   |
|  epoch 80 |   0.0255   |
|  epoch 81 |   0.0209   |
|  epoch 82 |   0.0132   |
|  epoch 83 |   0.0065   |
|  epoch 84 |   0.0127   |
|  epoch 85 |   0.0112   |
|  epoch 86 |   0.0128   |
|  epoch 87 |   0.0069   |
|  epoch 88 |   0.0124   |
|  epoch 89 |   0.0053   |
|  epoch 90 |   0.0035   |
|  epoch 91 |   0.0034   |
|  epoch 92 |   0.0118   |
|  epoch 93 |   0.0017   |
|  epoch 94 |   0.0086   |
|  epoch 95 |   0.0017   |
|  epoch 96 |   0.0237   |
|  epoch 97 |   0.0201   |
|  epoch 98 |   0.0243   |
|  epoch 99 |   0.0324   |
| epoch 100 |   0.0192   |
+-----------+------------+
