+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6276   |
|  epoch 2  |   0.5026   |
|  epoch 3  |   0.4327   |
|  epoch 4  |   0.3981   |
|  epoch 5  |   0.3623   |
|  epoch 6  |   0.3131   |
|  epoch 7  |   0.2860   |
|  epoch 8  |   0.2131   |
|  epoch 9  |   0.2315   |
|  epoch 10 |   0.2173   |
|  epoch 11 |   0.1814   |
|  epoch 12 |   0.1707   |
|  epoch 13 |   0.1588   |
|  epoch 14 |   0.1566   |
|  epoch 15 |   0.1207   |
|  epoch 16 |   0.0815   |
|  epoch 17 |   0.0614   |
|  epoch 18 |   0.0847   |
|  epoch 19 |   0.0824   |
|  epoch 20 |   0.0948   |
|  epoch 21 |   0.0779   |
|  epoch 22 |   0.0570   |
|  epoch 23 |   0.0576   |
|  epoch 24 |   0.0698   |
|  epoch 25 |   0.0877   |
|  epoch 26 |   0.0758   |
|  epoch 27 |   0.1006   |
|  epoch 28 |   0.1298   |
|  epoch 29 |   0.0637   |
|  epoch 30 |   0.0560   |
|  epoch 31 |   0.0504   |
|  epoch 32 |   0.0586   |
|  epoch 33 |   0.0236   |
|  epoch 34 |   0.0602   |
|  epoch 35 |   0.0526   |
|  epoch 36 |   0.0336   |
|  epoch 37 |   0.0159   |
|  epoch 38 |   0.0184   |
|  epoch 39 |   0.0188   |
|  epoch 40 |   0.0276   |
|  epoch 41 |   0.0208   |
|  epoch 42 |   0.0119   |
|  epoch 43 |   0.0329   |
|  epoch 44 |   0.0418   |
|  epoch 45 |   0.0456   |
|  epoch 46 |   0.0251   |
|  epoch 47 |   0.0313   |
|  epoch 48 |   0.0258   |
|  epoch 49 |   0.0473   |
|  epoch 50 |   0.0376   |
|  epoch 51 |   0.0287   |
|  epoch 52 |   0.0386   |
|  epoch 53 |   0.0296   |
|  epoch 54 |   0.0317   |
|  epoch 55 |   0.0308   |
|  epoch 56 |   0.0260   |
|  epoch 57 |   0.0108   |
|  epoch 58 |   0.0220   |
|  epoch 59 |   0.0196   |
|  epoch 60 |   0.0259   |
|  epoch 61 |   0.0083   |
|  epoch 62 |   0.0086   |
|  epoch 63 |   0.0045   |
|  epoch 64 |   0.0371   |
|  epoch 65 |   0.0115   |
|  epoch 66 |   0.0165   |
|  epoch 67 |   0.0161   |
|  epoch 68 |   0.0131   |
|  epoch 69 |   0.0072   |
|  epoch 70 |   0.0137   |
|  epoch 71 |   0.0057   |
|  epoch 72 |   0.0042   |
|  epoch 73 |   0.0034   |
|  epoch 74 |   0.0036   |
|  epoch 75 |   0.0027   |
|  epoch 76 |   0.0019   |
|  epoch 77 |   0.0066   |
|  epoch 78 |   0.0015   |
|  epoch 79 |   0.0128   |
|  epoch 80 |   0.0106   |
|  epoch 81 |   0.0311   |
|  epoch 82 |   0.0162   |
|  epoch 83 |   0.0156   |
|  epoch 84 |   0.0321   |
|  epoch 85 |   0.0158   |
|  epoch 86 |   0.0133   |
|  epoch 87 |   0.0085   |
|  epoch 88 |   0.0273   |
|  epoch 89 |   0.0064   |
|  epoch 90 |   0.0146   |
|  epoch 91 |   0.0101   |
|  epoch 92 |   0.0061   |
|  epoch 93 |   0.0045   |
|  epoch 94 |   0.0048   |
|  epoch 95 |   0.0027   |
|  epoch 96 |   0.0087   |
|  epoch 97 |   0.0137   |
|  epoch 98 |   0.0187   |
|  epoch 99 |   0.0075   |
| epoch 100 |   0.0213   |
+-----------+------------+
