+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   1.4046   |
| epoch 2  |   0.4719   |
| epoch 3  |   0.3550   |
| epoch 4  |   0.3100   |
| epoch 5  |   0.2811   |
| epoch 6  |   0.2575   |
| epoch 7  |   0.2337   |
| epoch 8  |   0.2149   |
| epoch 9  |   0.1991   |
| epoch 10 |   0.1850   |
| epoch 11 |   0.1714   |
| epoch 12 |   0.1617   |
| epoch 13 |   0.1452   |
| epoch 14 |   0.1389   |
| epoch 15 |   0.1349   |
| epoch 16 |   0.1240   |
| epoch 17 |   0.1162   |
| epoch 18 |   0.1092   |
| epoch 19 |   0.0976   |
| epoch 20 |   0.0963   |
| epoch 21 |   0.0901   |
| epoch 22 |   0.0812   |
| epoch 23 |   0.0780   |
| epoch 24 |   0.0752   |
| epoch 25 |   0.0710   |
| epoch 26 |   0.0639   |
| epoch 27 |   0.0603   |
| epoch 28 |   0.0562   |
| epoch 29 |   0.0559   |
| epoch 30 |   0.0525   |
| epoch 31 |   0.0493   |
| epoch 32 |   0.0452   |
| epoch 33 |   0.0467   |
| epoch 34 |   0.0426   |
| epoch 35 |   0.0393   |
| epoch 36 |   0.0352   |
| epoch 37 |   0.0376   |
| epoch 38 |   0.0324   |
| epoch 39 |   0.0314   |
| epoch 40 |   0.0294   |
| epoch 41 |   0.0262   |
| epoch 42 |   0.0263   |
| epoch 43 |   0.0270   |
| epoch 44 |   0.0240   |
| epoch 45 |   0.0224   |
| epoch 46 |   0.0211   |
| epoch 47 |   0.0200   |
| epoch 48 |   0.0217   |
| epoch 49 |   0.0206   |
| epoch 50 |   0.0199   |
+----------+------------+
