+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.0385   |
| epoch 2  |   1.7798   |
| epoch 3  |   1.5220   |
| epoch 4  |   1.4204   |
| epoch 5  |   1.2452   |
| epoch 6  |   1.0803   |
| epoch 7  |   0.9956   |
| epoch 8  |   0.9005   |
| epoch 9  |   0.8665   |
| epoch 10 |   0.7565   |
| epoch 11 |   0.7161   |
| epoch 12 |   0.6742   |
| epoch 13 |   0.6218   |
| epoch 14 |   0.5955   |
| epoch 15 |   0.5831   |
| epoch 16 |   0.5559   |
| epoch 17 |   0.5596   |
| epoch 18 |   0.5136   |
| epoch 19 |   0.4859   |
| epoch 20 |   0.4614   |
| epoch 21 |   0.4375   |
| epoch 22 |   0.4313   |
| epoch 23 |   0.4314   |
| epoch 24 |   0.4202   |
| epoch 25 |   0.3890   |
| epoch 26 |   0.3927   |
| epoch 27 |   0.3650   |
| epoch 28 |   0.3579   |
| epoch 29 |   0.3346   |
| epoch 30 |   0.3594   |
| epoch 31 |   0.3439   |
| epoch 32 |   0.3356   |
| epoch 33 |   0.3042   |
| epoch 34 |   0.3210   |
| epoch 35 |   0.2902   |
| epoch 36 |   0.3144   |
| epoch 37 |   0.2696   |
| epoch 38 |   0.2653   |
| epoch 39 |   0.2547   |
| epoch 40 |   0.2726   |
| epoch 41 |   0.2654   |
| epoch 42 |   0.2398   |
| epoch 43 |   0.2491   |
| epoch 44 |   0.2496   |
| epoch 45 |   0.2422   |
| epoch 46 |   0.2431   |
| epoch 47 |   0.2339   |
| epoch 48 |   0.2288   |
| epoch 49 |   0.2152   |
| epoch 50 |   0.2072   |
+----------+------------+
