+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   3.5319   |
| epoch 2  |   3.5329   |
| epoch 3  |   3.1737   |
| epoch 4  |   3.2061   |
| epoch 5  |   2.9282   |
| epoch 6  |   2.8550   |
| epoch 7  |   2.6548   |
| epoch 8  |   2.3526   |
| epoch 9  |   2.2957   |
| epoch 10 |   2.1909   |
| epoch 11 |   2.1686   |
| epoch 12 |   1.9614   |
| epoch 13 |   1.8604   |
| epoch 14 |   1.8388   |
| epoch 15 |   1.6394   |
| epoch 16 |   1.5844   |
| epoch 17 |   1.4063   |
| epoch 18 |   1.3994   |
| epoch 19 |   1.3141   |
| epoch 20 |   1.2202   |
| epoch 21 |   1.1383   |
| epoch 22 |   1.1387   |
| epoch 23 |   1.0431   |
| epoch 24 |   0.9799   |
| epoch 25 |   1.0240   |
| epoch 26 |   0.9599   |
| epoch 27 |   0.8574   |
| epoch 28 |   0.8469   |
| epoch 29 |   0.7941   |
| epoch 30 |   0.7997   |
| epoch 31 |   0.6907   |
| epoch 32 |   0.7046   |
| epoch 33 |   0.6684   |
| epoch 34 |   0.6325   |
| epoch 35 |   0.6927   |
| epoch 36 |   0.5874   |
| epoch 37 |   0.6189   |
| epoch 38 |   0.5538   |
| epoch 39 |   0.4970   |
| epoch 40 |   0.5400   |
| epoch 41 |   0.4684   |
| epoch 42 |   0.4651   |
| epoch 43 |   0.4929   |
| epoch 44 |   0.4815   |
| epoch 45 |   0.4696   |
| epoch 46 |   0.4155   |
| epoch 47 |   0.4077   |
| epoch 48 |   0.4095   |
| epoch 49 |   0.4219   |
| epoch 50 |   0.4180   |
+----------+------------+
