+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4246   |
|  epoch 2  |   0.2886   |
|  epoch 3  |   0.2296   |
|  epoch 4  |   0.2002   |
|  epoch 5  |   0.1774   |
|  epoch 6  |   0.1580   |
|  epoch 7  |   0.1458   |
|  epoch 8  |   0.1309   |
|  epoch 9  |   0.1165   |
|  epoch 10 |   0.1071   |
|  epoch 11 |   0.0952   |
|  epoch 12 |   0.0875   |
|  epoch 13 |   0.0773   |
|  epoch 14 |   0.0699   |
|  epoch 15 |   0.0626   |
|  epoch 16 |   0.0564   |
|  epoch 17 |   0.0527   |
|  epoch 18 |   0.0461   |
|  epoch 19 |   0.0442   |
|  epoch 20 |   0.0392   |
|  epoch 21 |   0.0375   |
|  epoch 22 |   0.0350   |
|  epoch 23 |   0.0331   |
|  epoch 24 |   0.0309   |
|  epoch 25 |   0.0270   |
|  epoch 26 |   0.0300   |
|  epoch 27 |   0.0257   |
|  epoch 28 |   0.0235   |
|  epoch 29 |   0.0255   |
|  epoch 30 |   0.0223   |
|  epoch 31 |   0.0220   |
|  epoch 32 |   0.0202   |
|  epoch 33 |   0.0234   |
|  epoch 34 |   0.0203   |
|  epoch 35 |   0.0206   |
|  epoch 36 |   0.0182   |
|  epoch 37 |   0.0178   |
|  epoch 38 |   0.0187   |
|  epoch 39 |   0.0171   |
|  epoch 40 |   0.0153   |
|  epoch 41 |   0.0176   |
|  epoch 42 |   0.0167   |
|  epoch 43 |   0.0147   |
|  epoch 44 |   0.0151   |
|  epoch 45 |   0.0149   |
|  epoch 46 |   0.0124   |
|  epoch 47 |   0.0153   |
|  epoch 48 |   0.0146   |
|  epoch 49 |   0.0132   |
|  epoch 50 |   0.0140   |
|  epoch 51 |   0.0138   |
|  epoch 52 |   0.0151   |
|  epoch 53 |   0.0116   |
|  epoch 54 |   0.0135   |
|  epoch 55 |   0.0107   |
|  epoch 56 |   0.0128   |
|  epoch 57 |   0.0117   |
|  epoch 58 |   0.0116   |
|  epoch 59 |   0.0117   |
|  epoch 60 |   0.0130   |
|  epoch 61 |   0.0110   |
|  epoch 62 |   0.0115   |
|  epoch 63 |   0.0107   |
|  epoch 64 |   0.0098   |
|  epoch 65 |   0.0107   |
|  epoch 66 |   0.0105   |
|  epoch 67 |   0.0104   |
|  epoch 68 |   0.0116   |
|  epoch 69 |   0.0100   |
|  epoch 70 |   0.0081   |
|  epoch 71 |   0.0111   |
|  epoch 72 |   0.0110   |
|  epoch 73 |   0.0095   |
|  epoch 74 |   0.0100   |
|  epoch 75 |   0.0093   |
|  epoch 76 |   0.0102   |
|  epoch 77 |   0.0092   |
|  epoch 78 |   0.0092   |
|  epoch 79 |   0.0093   |
|  epoch 80 |   0.0108   |
|  epoch 81 |   0.0095   |
|  epoch 82 |   0.0090   |
|  epoch 83 |   0.0090   |
|  epoch 84 |   0.0082   |
|  epoch 85 |   0.0086   |
|  epoch 86 |   0.0090   |
|  epoch 87 |   0.0071   |
|  epoch 88 |   0.0093   |
|  epoch 89 |   0.0092   |
|  epoch 90 |   0.0076   |
|  epoch 91 |   0.0083   |
|  epoch 92 |   0.0092   |
|  epoch 93 |   0.0082   |
|  epoch 94 |   0.0081   |
|  epoch 95 |   0.0096   |
|  epoch 96 |   0.0089   |
|  epoch 97 |   0.0080   |
|  epoch 98 |   0.0079   |
|  epoch 99 |   0.0084   |
| epoch 100 |   0.0072   |
+-----------+------------+
