+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4279   |
|  epoch 2  |   0.2975   |
|  epoch 3  |   0.2425   |
|  epoch 4  |   0.2134   |
|  epoch 5  |   0.1925   |
|  epoch 6  |   0.1718   |
|  epoch 7  |   0.1578   |
|  epoch 8  |   0.1446   |
|  epoch 9  |   0.1300   |
|  epoch 10 |   0.1171   |
|  epoch 11 |   0.1054   |
|  epoch 12 |   0.0929   |
|  epoch 13 |   0.0840   |
|  epoch 14 |   0.0792   |
|  epoch 15 |   0.0700   |
|  epoch 16 |   0.0647   |
|  epoch 17 |   0.0603   |
|  epoch 18 |   0.0552   |
|  epoch 19 |   0.0510   |
|  epoch 20 |   0.0478   |
|  epoch 21 |   0.0441   |
|  epoch 22 |   0.0408   |
|  epoch 23 |   0.0393   |
|  epoch 24 |   0.0373   |
|  epoch 25 |   0.0356   |
|  epoch 26 |   0.0313   |
|  epoch 27 |   0.0326   |
|  epoch 28 |   0.0264   |
|  epoch 29 |   0.0287   |
|  epoch 30 |   0.0276   |
|  epoch 31 |   0.0270   |
|  epoch 32 |   0.0257   |
|  epoch 33 |   0.0227   |
|  epoch 34 |   0.0239   |
|  epoch 35 |   0.0236   |
|  epoch 36 |   0.0220   |
|  epoch 37 |   0.0216   |
|  epoch 38 |   0.0218   |
|  epoch 39 |   0.0201   |
|  epoch 40 |   0.0195   |
|  epoch 41 |   0.0194   |
|  epoch 42 |   0.0185   |
|  epoch 43 |   0.0178   |
|  epoch 44 |   0.0165   |
|  epoch 45 |   0.0186   |
|  epoch 46 |   0.0171   |
|  epoch 47 |   0.0178   |
|  epoch 48 |   0.0163   |
|  epoch 49 |   0.0139   |
|  epoch 50 |   0.0176   |
|  epoch 51 |   0.0171   |
|  epoch 52 |   0.0165   |
|  epoch 53 |   0.0154   |
|  epoch 54 |   0.0157   |
|  epoch 55 |   0.0144   |
|  epoch 56 |   0.0144   |
|  epoch 57 |   0.0146   |
|  epoch 58 |   0.0156   |
|  epoch 59 |   0.0134   |
|  epoch 60 |   0.0131   |
|  epoch 61 |   0.0146   |
|  epoch 62 |   0.0132   |
|  epoch 63 |   0.0128   |
|  epoch 64 |   0.0135   |
|  epoch 65 |   0.0136   |
|  epoch 66 |   0.0115   |
|  epoch 67 |   0.0115   |
|  epoch 68 |   0.0139   |
|  epoch 69 |   0.0124   |
|  epoch 70 |   0.0126   |
|  epoch 71 |   0.0119   |
|  epoch 72 |   0.0119   |
|  epoch 73 |   0.0108   |
|  epoch 74 |   0.0116   |
|  epoch 75 |   0.0111   |
|  epoch 76 |   0.0113   |
|  epoch 77 |   0.0122   |
|  epoch 78 |   0.0113   |
|  epoch 79 |   0.0120   |
|  epoch 80 |   0.0120   |
|  epoch 81 |   0.0105   |
|  epoch 82 |   0.0122   |
|  epoch 83 |   0.0108   |
|  epoch 84 |   0.0106   |
|  epoch 85 |   0.0092   |
|  epoch 86 |   0.0121   |
|  epoch 87 |   0.0099   |
|  epoch 88 |   0.0104   |
|  epoch 89 |   0.0118   |
|  epoch 90 |   0.0107   |
|  epoch 91 |   0.0101   |
|  epoch 92 |   0.0101   |
|  epoch 93 |   0.0108   |
|  epoch 94 |   0.0105   |
|  epoch 95 |   0.0085   |
|  epoch 96 |   0.0091   |
|  epoch 97 |   0.0094   |
|  epoch 98 |   0.0086   |
|  epoch 99 |   0.0101   |
| epoch 100 |   0.0090   |
+-----------+------------+
