+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4215   |
|  epoch 2  |   0.2949   |
|  epoch 3  |   0.2408   |
|  epoch 4  |   0.2093   |
|  epoch 5  |   0.1881   |
|  epoch 6  |   0.1707   |
|  epoch 7  |   0.1559   |
|  epoch 8  |   0.1394   |
|  epoch 9  |   0.1276   |
|  epoch 10 |   0.1138   |
|  epoch 11 |   0.1025   |
|  epoch 12 |   0.0914   |
|  epoch 13 |   0.0819   |
|  epoch 14 |   0.0730   |
|  epoch 15 |   0.0671   |
|  epoch 16 |   0.0626   |
|  epoch 17 |   0.0562   |
|  epoch 18 |   0.0518   |
|  epoch 19 |   0.0495   |
|  epoch 20 |   0.0457   |
|  epoch 21 |   0.0437   |
|  epoch 22 |   0.0379   |
|  epoch 23 |   0.0379   |
|  epoch 24 |   0.0353   |
|  epoch 25 |   0.0334   |
|  epoch 26 |   0.0299   |
|  epoch 27 |   0.0293   |
|  epoch 28 |   0.0292   |
|  epoch 29 |   0.0267   |
|  epoch 30 |   0.0265   |
|  epoch 31 |   0.0264   |
|  epoch 32 |   0.0242   |
|  epoch 33 |   0.0250   |
|  epoch 34 |   0.0227   |
|  epoch 35 |   0.0223   |
|  epoch 36 |   0.0214   |
|  epoch 37 |   0.0219   |
|  epoch 38 |   0.0202   |
|  epoch 39 |   0.0193   |
|  epoch 40 |   0.0213   |
|  epoch 41 |   0.0174   |
|  epoch 42 |   0.0181   |
|  epoch 43 |   0.0178   |
|  epoch 44 |   0.0173   |
|  epoch 45 |   0.0178   |
|  epoch 46 |   0.0156   |
|  epoch 47 |   0.0173   |
|  epoch 48 |   0.0161   |
|  epoch 49 |   0.0176   |
|  epoch 50 |   0.0154   |
|  epoch 51 |   0.0159   |
|  epoch 52 |   0.0173   |
|  epoch 53 |   0.0158   |
|  epoch 54 |   0.0137   |
|  epoch 55 |   0.0156   |
|  epoch 56 |   0.0164   |
|  epoch 57 |   0.0122   |
|  epoch 58 |   0.0127   |
|  epoch 59 |   0.0141   |
|  epoch 60 |   0.0135   |
|  epoch 61 |   0.0130   |
|  epoch 62 |   0.0141   |
|  epoch 63 |   0.0136   |
|  epoch 64 |   0.0115   |
|  epoch 65 |   0.0128   |
|  epoch 66 |   0.0127   |
|  epoch 67 |   0.0127   |
|  epoch 68 |   0.0126   |
|  epoch 69 |   0.0120   |
|  epoch 70 |   0.0127   |
|  epoch 71 |   0.0113   |
|  epoch 72 |   0.0120   |
|  epoch 73 |   0.0126   |
|  epoch 74 |   0.0119   |
|  epoch 75 |   0.0105   |
|  epoch 76 |   0.0107   |
|  epoch 77 |   0.0125   |
|  epoch 78 |   0.0129   |
|  epoch 79 |   0.0108   |
|  epoch 80 |   0.0103   |
|  epoch 81 |   0.0109   |
|  epoch 82 |   0.0115   |
|  epoch 83 |   0.0099   |
|  epoch 84 |   0.0109   |
|  epoch 85 |   0.0103   |
|  epoch 86 |   0.0107   |
|  epoch 87 |   0.0087   |
|  epoch 88 |   0.0093   |
|  epoch 89 |   0.0123   |
|  epoch 90 |   0.0102   |
|  epoch 91 |   0.0096   |
|  epoch 92 |   0.0086   |
|  epoch 93 |   0.0101   |
|  epoch 94 |   0.0102   |
|  epoch 95 |   0.0107   |
|  epoch 96 |   0.0089   |
|  epoch 97 |   0.0095   |
|  epoch 98 |   0.0097   |
|  epoch 99 |   0.0096   |
| epoch 100 |   0.0104   |
+-----------+------------+
