+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4220   |
|  epoch 2  |   0.3019   |
|  epoch 3  |   0.2491   |
|  epoch 4  |   0.2199   |
|  epoch 5  |   0.1964   |
|  epoch 6  |   0.1803   |
|  epoch 7  |   0.1645   |
|  epoch 8  |   0.1548   |
|  epoch 9  |   0.1362   |
|  epoch 10 |   0.1227   |
|  epoch 11 |   0.1092   |
|  epoch 12 |   0.1009   |
|  epoch 13 |   0.0889   |
|  epoch 14 |   0.0766   |
|  epoch 15 |   0.0718   |
|  epoch 16 |   0.0661   |
|  epoch 17 |   0.0571   |
|  epoch 18 |   0.0532   |
|  epoch 19 |   0.0489   |
|  epoch 20 |   0.0444   |
|  epoch 21 |   0.0386   |
|  epoch 22 |   0.0407   |
|  epoch 23 |   0.0365   |
|  epoch 24 |   0.0346   |
|  epoch 25 |   0.0330   |
|  epoch 26 |   0.0305   |
|  epoch 27 |   0.0301   |
|  epoch 28 |   0.0278   |
|  epoch 29 |   0.0249   |
|  epoch 30 |   0.0262   |
|  epoch 31 |   0.0233   |
|  epoch 32 |   0.0233   |
|  epoch 33 |   0.0206   |
|  epoch 34 |   0.0222   |
|  epoch 35 |   0.0192   |
|  epoch 36 |   0.0194   |
|  epoch 37 |   0.0184   |
|  epoch 38 |   0.0198   |
|  epoch 39 |   0.0188   |
|  epoch 40 |   0.0164   |
|  epoch 41 |   0.0204   |
|  epoch 42 |   0.0153   |
|  epoch 43 |   0.0171   |
|  epoch 44 |   0.0177   |
|  epoch 45 |   0.0132   |
|  epoch 46 |   0.0119   |
|  epoch 47 |   0.0146   |
|  epoch 48 |   0.0160   |
|  epoch 49 |   0.0154   |
|  epoch 50 |   0.0142   |
|  epoch 51 |   0.0142   |
|  epoch 52 |   0.0134   |
|  epoch 53 |   0.0110   |
|  epoch 54 |   0.0130   |
|  epoch 55 |   0.0133   |
|  epoch 56 |   0.0138   |
|  epoch 57 |   0.0104   |
|  epoch 58 |   0.0098   |
|  epoch 59 |   0.0116   |
|  epoch 60 |   0.0112   |
|  epoch 61 |   0.0108   |
|  epoch 62 |   0.0120   |
|  epoch 63 |   0.0098   |
|  epoch 64 |   0.0114   |
|  epoch 65 |   0.0099   |
|  epoch 66 |   0.0100   |
|  epoch 67 |   0.0105   |
|  epoch 68 |   0.0102   |
|  epoch 69 |   0.0093   |
|  epoch 70 |   0.0113   |
|  epoch 71 |   0.0084   |
|  epoch 72 |   0.0103   |
|  epoch 73 |   0.0080   |
|  epoch 74 |   0.0102   |
|  epoch 75 |   0.0092   |
|  epoch 76 |   0.0094   |
|  epoch 77 |   0.0095   |
|  epoch 78 |   0.0082   |
|  epoch 79 |   0.0100   |
|  epoch 80 |   0.0083   |
|  epoch 81 |   0.0079   |
|  epoch 82 |   0.0085   |
|  epoch 83 |   0.0091   |
|  epoch 84 |   0.0084   |
|  epoch 85 |   0.0074   |
|  epoch 86 |   0.0072   |
|  epoch 87 |   0.0086   |
|  epoch 88 |   0.0081   |
|  epoch 89 |   0.0080   |
|  epoch 90 |   0.0068   |
|  epoch 91 |   0.0086   |
|  epoch 92 |   0.0083   |
|  epoch 93 |   0.0064   |
|  epoch 94 |   0.0078   |
|  epoch 95 |   0.0086   |
|  epoch 96 |   0.0080   |
|  epoch 97 |   0.0065   |
|  epoch 98 |   0.0073   |
|  epoch 99 |   0.0080   |
| epoch 100 |   0.0064   |
+-----------+------------+
